0;24725500
1;27179000
2;29668900
3;24130000
4;32211900
5;28678000
6;27218100
7;28207200
8;29656900
9;31297400
10;28649500
11;36242900
12;33548300
13;41103600
14;31275700
15;38098000
16;30594400
17;30326300
18;29035500
19;27849600
20;24542500
21;32502500
22;33077200
23;24560700
24;32372900
25;24742100
26;30255600
27;24758500
28;32263500
29;32895300
30;32969100
31;27290100
32;29677900
33;32364100
34;27709000
35;30130700
36;29803900
37;24974200
38;25008000
39;23433800
40;26811300
41;23305300
42;26504700
43;23230200
44;26670500
45;30488600
46;26080700
47;24797700
48;28725300
49;25192200
