0;1.6676925076238397e+18
1;1.6676925823414195e+18
2;1.667692672643654e+18
3;1.6676927532776922e+18
4;1.667692837080981e+18
5;1.6676929221262646e+18
6;1.6676930030981632e+18
7;1.6676930914478953e+18
8;1.6676931628881969e+18
9;1.6676932429430633e+18
10;1.667693326025236e+18
11;1.6676934016425216e+18
12;1.6676934847698025e+18
13;1.6676935599613097e+18
14;1.667693636310378e+18
15;1.6676937070197942e+18
16;1.667693782898264e+18
17;1.667693864697431e+18
18;1.6676939350824366e+18
19;1.667694015399774e+18
20;1.6676940851684762e+18
21;1.6676941580654392e+18
22;1.6676942281817326e+18
23;1.6676943030304102e+18
24;1.6676943735795505e+18
25;1.667694451055411e+18
26;1.6676945240026163e+18
27;1.6676946010899738e+18
28;1.6676946776297874e+18
29;1.6676947584315023e+18
30;1.6676948349820068e+18
31;1.667694907996284e+18
32;1.6676949862212529e+18
33;1.667695066411803e+18
34;1.6676951442884378e+18
35;1.667695212795182e+18
36;1.667695280520332e+18
37;1.6676953516504003e+18
38;1.6676954322977815e+18
39;1.667695511041699e+18
40;1.667695604719628e+18
41;1.667695694457571e+18
42;1.6676957912586435e+18
43;1.6676958865401226e+18
44;1.667695973539392e+18
45;1.66769604836763e+18
46;1.6676961172560125e+18
47;1.6676961870514435e+18
48;1.6676962573554732e+18
49;1.667696330970803e+18
