0;1.6676918236557015e+18
1;1.667691824692896e+18
2;1.667691825757107e+18
3;1.6676918268428925e+18
4;1.66769182801437e+18
5;1.667691829252321e+18
6;1.6676918302728714e+18
7;1.6676918313243113e+18
8;1.6676918323430444e+18
9;1.6676918334141486e+18
10;1.667691835089231e+18
11;1.6676918375538565e+18
12;1.6676918389030147e+18
13;1.6676918399127726e+18
14;1.6676918410130985e+18
15;1.667691842093e+18
16;1.667691844440705e+18
17;1.6676918464754132e+18
18;1.6676918475491456e+18
19;1.6676918486226796e+18
20;1.667691849697012e+18
21;1.6676918516043052e+18
22;1.667691854273072e+18
23;1.667691855511073e+18
24;1.667691856667222e+18
25;1.6676918580328745e+18
26;1.6676918604579968e+18
27;1.6676918625691e+18
28;1.6676918636328358e+18
29;1.667691864757804e+18
30;1.6676918658378086e+18
31;1.6676918679043848e+18
32;1.6676918702611095e+18
33;1.667691871329089e+18
34;1.6676918723875215e+18
35;1.667691873442944e+18
36;1.6676918747795023e+18
37;1.667691877397797e+18
38;1.667691878905943e+18
39;1.6676918798931164e+18
40;1.6676918809490893e+18
41;1.66769188199266e+18
42;1.6676918841790628e+18
43;1.6676918864076326e+18
44;1.6676918874692452e+18
45;1.6676918884943918e+18
46;1.6676918896627732e+18
47;1.6676918913129098e+18
48;1.6676918938078426e+18
49;1.6676918950990513e+18
