0;654739300
1;687036300
2;647073400
3;659830100
4;649793500
5;650290000
6;830008500
7;679637700
8;720468500
9;653644000
10;662736500
11;643409900
12;654964900
13;735214800
14;638774100
15;653131100
16;670630800
17;657000000
18;670473000
19;670913500
20;648649100
21;660454800
22;709887700
23;967807400
24;773409500
25;673324900
26;658476600
27;668629100
28;652566100
29;665774700
30;666487000
31;683318800
32;655215900
33;682724600
34;652230400
35;729990300
36;670025600
37;659916700
38;659750500
39;670224700
40;663170900
41;657349500
42;663763500
43;665874400
44;654220700
45;666449600
46;654403100
47;727654000
48;663229300
49;644972700
